주_용도_코드,주_용도_코드_명,주택,아파트,단독주택,창고,공동주택,다가구주택,다세대주택,제2종근린생활시설,소매점,계단실
04045,청소년게임제공업소,0,0,0,3,0,0,0,1322,1,13
04102,체력단련장,8,0,1,36,1,3,0,5338,17,167
04105,당구장,30,0,4,17,0,1,0,4084,26,103
04107,골프연습장,3,0,1,38,0,0,0,4272,27,188
04201,교회,307,0,60,399,0,3,1,5686,4,459
04203,사찰,105,0,24,612,0,2,0,2745,0,35
04207,제실,2,0,2,232,0,0,0,1200,0,5
04299,기타종교집회장,107,3,43,468,0,1,0,3341,2,110
04401,금융업소,0,0,1,96,0,2,0,2761,100,191
04402,사무소,1012,24,257,6500,26,207,42,226891,997,13731
04403,부동산중개업소,8,0,0,8,0,0,0,8777,68,33
04406,부동산중개사무소,3,0,3,16,1,1,1,7888,32,57
04499,기타사무소,432,15,52,1349,6,39,8,14604,152,1397
04999,기타제2종근린생활시설,1455,29,231,5101,65,90,28,63612,905,21987
06101,교회,301,0,73,785,4,5,0,39,6,1596
06103,사찰,694,0,1,600,0,0,0,6,3,110
07201,상점(소매점),29,15,0,282,5,0,0,297,479,593
07999,기타판매시설,16,18,1,553,9,0,0,313,132,811
09107,병원,48,4,8,363,4,0,0,48,41,779
10003,학원,23,1,8,89,3,2,0,623,92,815
10101,초등학교,121,0,6,4773,3,5,0,1,2,1131
10102,중학교,24,0,9,1811,0,3,0,0,0,561
10103,고등학교,16,0,1,1369,0,0,0,0,2,659
10104,대학교,7,22,0,573,18,0,0,4,64,410
10999,기타교육연구시설,62,1,18,1413,13,8,0,86,15,1123
11201,노인복지시설,36,2,17,1103,8,1,3,52,14,1398
13999,기타 운동시설,3,2,4,545,1,0,0,55,21,422
14202,오피스텔,12,517,19,1180,542,12,71,205,94,22019
14204,사무소,49,1,11,828,19,1,1,569,124,2944
14299,기타일반업무시설,27,14,2,1599,10,0,1,197,38,5055
15002,생활숙박시설,0,0,6,343,0,0,0,12,11,2126
15102,여관,372,0,35,749,3,7,0,50,47,2860
15199,기타일반숙박시설,88,0,12,301,0,0,0,10,15,1018
15201,관광호텔,0,0,0,394,0,0,0,38,58,1246
17100,일반공장,361,31,34,31817,7,1,0,210,66,4646
17200,유해공장,15,0,1,2054,0,0,0,3,5,111
17301,물품 제조공장,3,0,2,7835,0,0,0,12,8,1719
17999,기타공장,63,0,7,29405,11,0,0,385,84,8816
18000,창고시설,0,0,1,2166,0,0,0,0,0,1
18001,창고,875,6,895,510053,7,18,6,172,91,598
18101,일반창고,15,0,76,23995,1,3,3,45,21,557
18102,냉장창고,0,0,3,1054,0,0,0,1,3,25
18999,기타창고시설,66,1,149,38619,4,4,1,41,29,733
19001,주유소,79,0,20,848,0,0,0,20,182,429
20001,주차장,22,48,90,465,51,54,66,205,124,1869
20006,정비공장,5,0,4,819,1,0,0,18,13,339
20999,기타자동차관련시설,12,0,1,674,0,0,0,31,16,389
21101,축사,338,0,107,22445,0,1,0,9,2,31
21204,가축용창고,0,0,0,2375,0,0,0,0,0,0
21999,기타동식물관련시설,165,0,59,10468,0,4,0,5,4,37
Z3999,기타근린생활시설,419,0,5,348,20,5,0,124,112,525
