기타_용도_분리,Total Count
및단독주택,215
아동시설,214
일반목욕장,213
간이주점,212
저수조,212
퇴적장,212
교습소,211
지역자치센터,211
생시설,211
점포및사무실,210
가축시설,210
자원순환시설,209
2용도,209
폐기물보관소,208
송풍실,208
기도원,208
사회적기업,207
다세대주택및근린생활시설,206
도시형공장,205
물탱크,205
쓰레기,205
택배보관소,204
제2종근린생할시설,203
판매장,203
발전소,203
주민복지관,203
방재시설,202
물품,202
종합병원,202
양곡창고,202
2종근린생활,202
7가구용,202
축,201
단독주택및창고시설,200
파고라,199
건가시설,199
종각,198
도자기공장,198
세면장,198
농산물저온창고,196
박물관,196
체력단련실,196
부엌,196
기타창고시설,195
기타시설,195
근리생활시설,194
발전기,193
슈퍼마켓,193
업무,193
퇴비장,193
축사및,193
가스정압실,191
단독주택외1용도,191
하수종말처리장,191
농업인창고,190
경마장,190
차고지,190
6가구용,190
부속시설,189
폐수처리시설,189
중간기계실,189
제품창고,188
15,188
제1종근린생활시설및단독주택,188
콤프레샤실,187
2호,187
비공해공장,186
전문음식점,185
제재소,185
가스저장고,185
석유판매소,185
문화및,184
옥외계단,184
체육시설,184
위험물옥내저장소,184
1호,183
소독실,183
도서실,183
자동차정비공장,182
기타공공시설,181
노유자,181
2종근,181
간이집하장,181
재활용품보관창고,181
기원,181
볼링장,180
교육및연구시설,180
기술계학원,180
북카페,179
합숙소,179
폐기물처분시설,179
통합경비실,178
키즈카페,178
근로자휴게실,177
16,177
휴게시설,176
주택및제2종근린생활시설,176
복도,175
도시형생활,175
공연장,175
생활관,175
교육,174
철도역사,174
맘스카페,173
축사시설,173
정각,173
근린생활시설외1용도,173
수영장,172
재배사,172
근생및,172
식품위생시설,171
61,171
국민주택,171
농산물저온저장고,171
room,171
해태건조장,170
19,170
저장시설,170
실내골프연습장,170
가옥,170
생활주택,170
부주택,169
주택및소매점,168
농가주택및,167
지열기계실,167
14,167
펌프장,167
하수등처리시설,166
매표소,166
선별장,166
강의실,166
일반,165
근린생활및주택,165
11가구용,164
체험관,164
찜질방,164
2종근린생활시설및주택,164
제과점,164
계단,164
제2종근린생활시설및,164
충전소,163
농산물가공시설,163
농산물건조장,162
집배송시설,162
세대창고,161
운전학원,161
변소및,160
마을모정,160
사제관,159
제,159
자동차영업소,159
농어촌주택,159
보이러실,158
농산물가공공장,158
분리수거장,158
생활편의시설,158
제1종근린생활시설외2,157
다목적교실,157
단독주택및제1종근린생활시설,156
액화가스판매소,155
용역원휴게실,155
동ㆍ식물관련시설,155
마을창고,154
업무시설외,154
농산물가공처리시설,154
원룸형다세대,153
예능계강습소,153
시험실,153
부화장,153
승마장,152
전시실,152
게임제공업소,152
공동창고,152
야적장,152
동회관,151
농수산물창고,150
방가로,150
13,149
전화국,149
별장,149
한우,148
소방차고,148
공공도서관,148
농가용주택및창고,148
11호,147
부속차고,146
저장창고,146
정화조,146
마을공동작업장,146
t,145
공장및창고,145
장례시설,144
치과의원,144
농업창고,143
단지형연립,143
탁아소,143
테니스장,143
우수저류조,143
다목적체육관,142
보일라실,142
가압장,142
싸이로,142
향교,142
주택외1,142
진료소,141
공관,141
농업용저온창고,141
교육장,141
지하저수조,140
축분건조장,140
야영장,140
보관,139
학교시설,138
새마을창고,138
숙사,138
문화시설,138
관리사및창고,138
원두막,138
소방펌프실,137
shelter,137
옥외승강기,137
마을공동구판장,136
탄약고,136
부속사무실,136
부설주차장,136
양수실,135
무,135
노인당,135
티하우스,134
기타사무소,134
실습실,134
무인택배보관소,134
인터넷컴퓨터게임시설제공업소,134
제2종근린생활시설및다가구주택,133
소매점및주택,132
미술관,132
배수펌프장,132
경로회관,132
외부계단실,132
위락,132
농산물판매장,131
2종근린생활시설및단독주택,130
수산물가공공장,129
버섯,129
교사동,129
불당,129
1가구용,129
방갈로,129
14호,128
농어업용주택,128
창고및축사,128
다가구주택및제2종근린생활시설,128
면사무소,127
임대,127
직업훈련소,127
수산물보관창고,127
축사및관리사,127
도축장,127
맘스테이션,127
가스배관시설,126
숙박,126
예배당,125
곡물건조장,125
apt,125
점포주택,125
c,125
동물원,125
중앙감시실,125
제1종근린생활시설및주택,125
장옥,124
화장실및창고,124
농수산물,124
기념관,123
사회복지관,123
한우사,123
18,123
펌프,123
방아간,123
공가,123
제1종근린생할시설,122
12호,122
무인전화국,121
양조장,121
농어가,121
용역원실,121
보일러,121
농생,120
가스저장실,120
비각,120
마을경로당,119
생및주택,119
계절창고,119
집회장,118
후생복지시설,118
농기계수리센타,118
감시제어반실,118
기타판매시설,117
세탁실,117
자전거보관소,117
동물병원,117
공동변소,117
농기계보관,116
양어시설,116
육묘장,116
폐기물처리장,116
게스트룸,116
어업용창고,116
카센타,116
제2종근린,115
황토방,115
서원,115
다가구주택3가구,115
사우나,115
제사,115
1층,114
공작실,114
식품가공공장,114
8가구용,114
기사대기실,114
교회사택,114
제당,114
폐기물감량화시설,114
농기구창고,114
이용소,113
부속주차장,113
간이,113
호텔,113
다가구주택5가구,113
건조기,112
20세대,112
전기자동차충전소,112
가공공장,112
요양원,112
다함께돌봄센터,112
인포넷센터,112
점,112
체험장,112
농수산물가공처리시설,111
관람장,111
공공청사,110
유스호스텔,110
2종근생시설,110
외부승강기,110
조정실,109
부속건,109
양생실,109
가스공급시설,109
b,109
노래방,108
제1종근린,108
공회당,108
17호,108
주택점포,108
기계식주차장,108
휴계실,107
곤충사육장,107
농,107
농기계수리소,107
옥외계단실,107
농어가창고,107
창고및사무실,107
사무실및창고,106
우사및퇴비사,106
쓰레기처리장,106
소방파출소,106
수도원,105
저온,105
17세대,105
농기구수리점,105
배양장,105
주차관리실,105
구매생활시설,105
마을공동농기계보관창고,104
농촌주택개량,104
복지관,104
17,104
취수장,103
창고및관리사,103
방과후교실,102
농업용시설,102
농가주택및농가창고,102
3호,102
배양실,102
객실,102
직원휴게실,102
한방병원,101
집회실,101
다세대주택및,101
농업시설,101
입주자집회소,101
욕탕,101
육계사,101
재활용보관소,100
경비실3,100
근린생활시설및다가구용단독주택,100
기전실,100
포,100
하수종말처리시설,100
클럽하우스,100
단층주택,100
마사,100
공조실,99
취급소,99
마을정자,99
보관소,99
폐기물,99
및제1종근린생활시설,99
공장및,99
코크스공장,98
d,98
종교집회시설,98
가스충전소,98
헬스장,98
제1근린생활시설,98
입주민회의실,98
노인요양시설,97
10가구용,97
2종근린생활시설및,97
실내놀이터,97
절,97
산막,97
다세대주택8세대,97
2층,97
배수지,96
기존,96
창고및보일러실,96
커뮤니티센터,96
도매시장,96
젖소,96
다가구주택외,96
주택및사무실,95
바베큐장,95
대합실,95
인포넷,95
무인택배보관실,94
유류판매소,94
과수저장고,94
주차타워,94
지하차고,94
무도학원,94
퇴비저장소,93
전망대,93
소각장,93
물품보관창고,93
주유대,92
근린생활시설및숙박시설,92
종실,92
근린생활시설및창고,92
태권도장,92
농기구보관창고,92
부속건축물,92
단독다가구주택,91
유류창고,91
운전실,91
13호,91
염소,91
위험물저장고,91
제분소,91
제1종근린생활시설및,91
정비시설,91
재2종근린생활시설,91
분석기실,91
실내체육관,90
근린생활시설및업무시설,90
b동,90
옥내저장소,90
몸채,90
공동주택외2,90
농업인,89
압축기실,89
4호,89
한옥,89
제1종근생시설,89
쓰레기집하장,89
납골당,89
보육원,89
주기장,89
철공소,89
관광농원,89
단독주텍,88
공동구판장,88
농어업용창고,88
교회당,88
15호,88
청사,88
주택시설,87
단독주택시설,87
쉼터,87
elev,87
잡옥,87
제조,87
업무시설외1,86
하수,86
생활권수련시설,86
펜션,86
부속동,85
친환경퇴비사,85
사과저장고,85
공중목욕탕,85
근생및다세대주택,85
강습소,85
요사,85
농기구수리센타,85
폐기물보관장,84
소방호스쉘타,84
a동,84
서재,84
공동화장실,84
주민휴게시설,84
유선각,84
마을공동,84
맘스라운지,84
커뮤니티시설,84
계분장,83
곤충사육시설,83
식품제조업,83
제1종근린생활시설및다가구주택,83
본가,83
공공근린시설,83
기도실,83
소형주택,82
생및,82
재활용보관창고,82
이발관,82
식품제조업소,82
아,82
재활용품,82
예배실,81
출하장,81
창고시설외1,81
9호,81
2동,81
연면적제외,81
2건,80
표구점,80
전시관,80
야외화장실,80
퇴비저장조,80
지하창고,80
주점영업,80
14가구용,80
농산물저장고,80
노인복지회관,80
본관,80
창고시설외,80
고압가스충전소,80
파,79
다가구주택2가구,79
근린생활시설외2,79
정비소,79
농업용창고시설,79
트,79
수소충전소,79
다가주주택,79
입주자회의소,79
house,79
키즈스테이션,79
궁도장,79
건강원,78
떡방앗간,78
기타관광휴게시설,78
흡연실,78
감귤,78
엘리베이터,77
지하주차장1,77
실외체육시설,77
석재가공공장,77
민박,77
구령대,77
위험물처리및저장시설,77
분석계기실,77
창고및단독주택,77
봉안당,77
공부방,77
농산물직판장,77
상가동,77
e,77
근린생활시설및위락시설,76
주민편의시설,76
지층,76
사랑채,76
석유판매취급소,76
농업용저온저장고,76
레미콘공장,76
차양대,76
비료창고,76
tms,75
대중목욕탕,75
잿간,75
관리노인정,75
다가구주택외1,75
제2종근린생활시설외1용도,75
정비실,75
목재건구제조업,75
지하주차장2,75
연결복도,75
다가구주택6가구,74
교육실,74
삼문,74
헬스크럽,74
공용세탁실,74
다가구주택및제1종근린생활시설,74
무인기지국,74
연초건조실,74
자치단체청사,74
승강기,74
특별교실,74
청소년전자유기장,74
영업장,73
지역편의시설,73
및다가구주택,73
촬영소,73
농산물가공,73
숙박시설및근린생활시설,73
10호,72
제2종근리생활시설,72
청소년수련관,72
종교관련시설,72
가스실,72
인쇄소,72
근린생화시설,72
가구,72
분기국사,71
외2용도,71
6호,71
목조,71
염소사육장,71
외4,71
일반음식점및주택,71
제조소,71
역사,70
분뇨처리장,70
일반목재가구제조업,70
및창고,70
일용품,70
증축,70
노인복지주택,70
제1종및2종근린생활시설,70
포장실,70
주점,70
업무시설및근린생활시설,70
숙박시설외,70
다가구형단독주택,70
기관실,70
집회소,69
여객자동차터미널,69
부속용도,69
그린생활시설,69
화실,69
창고동,69
염소축사,69
다가구형,69
대학,69
공장창고,69
근린시설및주택,69
제연실,69
기타종교집회장,69
출하실,69
목재건구,69
주택외1용도,68
분석실,68
창고관련시설,68
1종근린생활,68
노인시설,68
양돈,68
제2종근린생황시설,68
바이크스테이션,68
양송이재배사,67
일반목욕탕,67
전자변성기제조업,67
다세대주택및제2종근린생활시설,67
사원,67
염소투입실,67
승강장,67
소형전화국,67
공장동,67
자재보관창고,67
제연팬룸,67
기타동식물관련시설,67
자동차매매장,67
카페테리아,67
양봉,67
근로자휴게시설,67
어류축양장,66
다과점,66
장애인복지시설,66
근린생활및,66
도시형주택,66
흡연장,66
의료,66
24세대,66
배드민턴장,66
비상발전기실,66
v,66
사무실및,66
팔각정,65
소포보관실,65
하숙,65
수도장,65
곡물제분업,65
오락실,65
사육장,65
사점,65
오수처리장,64
제2종근생활시설,64
교육연구시설및,64
종근린생활시설,64
다가구용단독,64
직원식당,64
마을공동회관,64
원룸,64
창고시설및단독주택,63
공용화장실,63
커뮤니티,63
1종근,63
환경위생시설,63
삼성각,63
망루,63
별채,63
원룸형도시형생활주택,63
대피호,63
제1종근린공공시설,63
송풍기실,63
새마을금고,63
주가,62
사무실및기숙사,62
다가구주택4가구,62
건강관리실,62
빗물펌프장,62
청소년,62
농기계간이수리소,62
처리,62
피아노학원,62
편의시설,62
3층,62
작업소,62
냉동,61
제2종근린시설,61
공공하수처리시설,61
방송국,61
서고,61
농사용주택,61
폐기물창고,61
주택및일반음식점,61
코인세탁실,61
식물원,61
부락공동시설,61
키즈룸,60
동전기실,60
지하부속사,60
폐기물보관창고,60
선과장,60
가족호텔,60
외부화장실,60
사슴사육장,60
원룸형다세대주택,60
동통신실,60
액화가스취급소,60
침술원,60
정육점,60
8호,60
약품창고,60
새마을,60
옥외엘리베이터,60
어가주택,60
비상급수시설,60
정화조관리층,60
단둑주택,60
액화석유가스판매소,60
5호,60
빗물저류조,59
9가구용,59
공해,59
청소년문화의집,59
주차전용건축물,59
헬스클럽,59
l,59
콤푸레샤실,59
보일러실및창고,59
공동육아나눔터,59
영,59
차양,59
목욕실,59
외2건,59
저장및,58
원사,58
주택및제1종근린생활시설,58
사슴,58
15가구용,58
설비실,58
주택에부속된창고,58
외삼문,58
근린시설및,57
공방,57
대형점,57
임대아파트,57
국가기관청사,57
속셈학원,57
식물관련,57
다가구주택및근생,57
원료창고,57
일반게임제공업의시설,57
검차장,57
출하대,57
쓰레기장,57
공동주택및근린생활시설,57
농기구,57
g,57
고로공장,57
주택및근생,57
주경비실,56
유리온실,56
주민자치센터,56
면회실,56
판매소,56
운동,56
축분처리장,56
염소사,56
정문,56
거가,56
스터디룸,56
농가용단독주택,56
업소,56
농가축사,56
제2종근린생화시설,56
사무실및주택,56
폐기물처리시설및폐기물감량화시설,56
쓰레기분리수거장,56
외국어학원,56
유류저장고,56
업무시설외2,55
서당,55
단도주택,55
폐기물저장소,55
미곡종합처리장,55
격납고,55
동물식물관련시설,55
2종근린시설,55
양어장관리사,55
상여보관소,55
기타운동시설,55
지구대,55
양로원,55
제1종근리생활시설,55
고압가스저장소,54
목재가구제조업,54
단독주택외2건,54
소,54
저장실,54
이,54
수전실,54
주민공동시설등,54
수산물,54
부속주택,54
위험물저장및처리,54
일반소매점,54
비,54
양잠,54
냉동실,54
식육점,54
공판장,54
피난안전구역,54
근린공공,54
개수대,54
나동,53
18호,53
휴게공간,53
종교,53
부품창고,53
청소년시설,53
교육연구복지시설,53
후생복리시설,53
감타래,53
경찰관파출소,53
문화재,53
근생및단독주택,53
및다세대주택,53
다용도,53
기타숙박시설,52
건축자재소매점,52
1동,52
오양간,52
커뮤니티센타,52
봉제공장,52
다가구주택7가구,52
취미실,52
폐기물보관시설,52
옥내주차장,52
종합방재실,52
목사관,52
농림수산업용시설,52
농어촌민박,52
가동,52
부,52
양식장,52
교육연구시설외,51
건초창고,51
종업원사택,51
da,51
다구구주택,51
방송,51
태양광발전시설,51
건,51
냉동공장,51
공동취사장,51
농수산물보관및가공관련시설,51
제어실,51
근린생활시설1,51
방풍실,51
종업원숙소,51
단독주택11가구용,51
양계,51
근린생활시설및공동주택,51
관리시설,51
가공,51
유류취급소,51
노인여가복지시설,50
가스창고,50
주텍,50
탱크,50
연초건조장,50
의약품판매소,50
약품투입실,50
과일저장고,50
부속정자,50
대문채,50
멀티룸,50
인큐베이터,50
카페,50
수산물창고,50
근린생활시설및교육연구시설,50
유아보육시설,50
교육및복지시설,50
임업용창고,50
주유소캐노피,50
야구장,50
영화관,50
안내소,50
복지동,50
냉동기실,50
주택개량,50
잡화점,50
옥외,49
부속실,49
내삼문,49
주택5가구,49
볏집창고,49
전기기계실,49
주차시설,49
데크,49
주민공동시설1,49
자연휴양림,49
농가생산시설,49
다목적회관,49
검사실,49
96,49
상여집,49
소화펌프실,49
벤처집적시설,48
말소,48
다가가주택,48
공장및부대시설,48
중,48
칠성각,48
2종근린생활시설외,48
휴양시설,48
다가구주택8가구,48
편익시설,48
지하주차장캐노피,48
재1종근린생활시설,48
연구동,48
공구실,48
경,48
기타목재가구제조업,48
28세대,48
잠수탈의장,48
암자,48
놀이방,48
간이저온저장고,48
주택1가구,47
건조기창고,47
원단편조업,47
마을금고,47
군사,47
원룸형아파트,47
관리인숙소,47
취사시설,47
동호회실,47
사격장,47
개량곳간,47
딘독주택,47
돈분처리장,47
주민공동시설2,47
m,47
제1종근생활시설,47
스카이라운지,47
착유장,47
잎담배,47
공장및기숙사,47
현장사무실,47
주택및우사,46
양봉사,46
단독형집합주택,46
주택및공장,46
94,46
세차시설,46
위판장,46
가스저장창고,46
전철차량기지,46
16호,46
노인의료복지시설,46
가구제조업,46
문서고,46
단독주택및점포,46
다가구11가구,46
부경비실,46
식당동,46
농가용축사,46
주택용,46
무인택배보관함,46
기타창고,46
시장장옥,46
마을공동이용시설,46
산지유통시설,46
냉장,46
다가구주택12가구,45
관리사택,45
계분건조장,45
안내실,45
소매점및단독주택,45
배전실,45
중대본부,45
공원부수시설,45
부수되는,45
외부엘리베이터,45
농수산물보관및관리관련시설,45
가압펌프장,45
관리층,45
축사및주택,45
창고및차고,45
차고및창고,45
카센터,45
근린및주택,44
그늘집,44
오수처리시설,44
조적조,44
사설학원,44
우사및창고,44
주택및근린생활,44
자동차검사장,44
장비창고,44
축산시설,44
농용창고,44
과원퇴비사,44
창고및근린생활시설,44
물류센타,44
산후조리원,44
문고등,44
정압실,44
리사무소,44
병영생활관,44
오수중계펌프장,44
제종근린생활시설,44
누각,44
근린생활시설2,43
2종근린생활시설외1,43
제2종근린생활시설및다세대주택,43
해태가공공장,43
물류터미널,43
다가구주택9가구,43
상수도,43
주유소사무실,43
자연순환관련시설,43
71,43
굼벵이사육장,43
물품창고,43
여,43
생산물저장창고,43
농수산물가공공장,43
콤퓨레샤실,43
직업훈련원,43
연사제조,43
벼육묘장,43
mcc,43
주택창고,43
탈의장,43
휘트니스센타,43
소매점및,43
조리실,43
근린생황시설,43
조사료창고,43
사우나기계실,43
제1종근린생활시설외1용도,43
근랜생활시설,43
퇴비사및창고,42
잠사,42
예능계,42
석재공장,42
건조창고,42
세차장사무실,42
건초장,42
관리용건축물,42
물치고,42
숙박시설및,42
78년,42
농사용저온창고,42
도시형생활주택단지형다세대주택,42
단독주택1가구,42
학생회관,42
