주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
06105,수도원,1116,360,0.3225806451612903
04021,세탁소,1093,15,0.013723696248856358
11203,근로복지시설,1079,252,0.23354958294717332
12299,기타자연권수련시설,1079,0,0.0
04004,서점(1종근.생미해당),1078,847,0.7857142857142857
18002,하역장,1068,399,0.37359550561797755
04022,멀티미디어문화컨텐츠설비제공업소,1057,414,0.391674550614948
06104,기도원,1043,357,0.3422818791946309
17308,물품 인쇄공장,1016,0,0.0
27007,공원에 부수되는 시설,1004,0,0.0
12201,청소년수련원(관),1002,0,0.0
17000,공장,1001,3,0.002997002997002997
19010,위험물취급소,998,8,0.008016032064128256
04038,청소년게임제공업의시설,976,557,0.5706967213114754
08008,항만시설,970,0,0.0
10401,학원,958,7,0.007306889352818371
08001,여객자동차터미널,958,0,0.0
07001,도매시장,940,0,0.0
13008,볼링장,931,715,0.7679914070891515
24999,기타방송통신시설,929,0,0.0
12103,청소년문화의집,905,746,0.8243093922651934
13107,승마장,901,0,0.0
03016,침술원,891,710,0.7968574635241302
20010,주기장,844,0,0.0
13003,탁구장,830,7,0.008433734939759036
15003,다중생활시설,830,441,0.5313253012048192
08003,철도역사,829,0,0.0
04208,사당,827,0,0.0
05399,기타관람장,821,0,0.0
21103,양봉,821,266,0.32399512789281365
09103,치과병원,809,585,0.723114956736712
24003,촬영소,805,583,0.724223602484472
09105,정신병원,797,396,0.4968632371392723
21001,도축장,794,277,0.34886649874055414
03018,조산소,766,408,0.5326370757180157
04109,놀이형시설,763,614,0.8047182175622543
09301,장례식장,763,1,0.001310615989515072
03035,통신용 시설,742,0,0.0
03000,제1종근린생활시설,707,0,0.0
13104,수영장,698,410,0.5873925501432665
19016,고압가스충전소,697,0,0.0
05301,경마장,695,0,0.0
13004,체육도장,694,4,0.005763688760806916
27006,관광지시설,689,0,0.0
04024,직업훈련소,681,391,0.5741556534508077
08005,항만시설(터미널),680,0,0.0
12001,유스호스텔,676,357,0.5281065088757396
09102,산부인과병원,669,0,0.0
04013,어린이집,667,1,0.0014992503748125937
03299,기타사무소,650,0,0.0
