기타_용도_분리,Total Count
연면적제외임,981
기계식주차,981
방재센터,979
톱밥발효우사,978
피난안전구역,976
35,974
31,971
위험물창고,971
다락방,971
계단실등,970
97,970
양어시설,965
교육시설,964
61,963
기타제2종근생활시설,962
제품창고,960
묘지관련시설,960
교육장,959
재활용품창고,957
대학,957
본관,952
농산물간이집하장,950
공공도서관,950
직원휴게실,944
기타근린생활시설,942
원룸형다세대,942
양어장,941
34,939
퇴비저장소,938
기타운동시설,937
석유판매소,936
게스트하우스,930
위험물,929
집배송시설,929
45,925
농수산물보관창고,923
탕비실,923
집회실,923
구매,922
구판장,917
주차램프,916
산후조리원,916
공용면적,916
합숙소,912
돈분장,912
car,906
66,905
04,905
90,904
우산각,903
국방군사시설,894
전시시설,892
46,892
08,890
실외기실,886
38,885
식품공장,883
도시형공장,881
기사대기실,881
판매,880
시험실,880
7실,879
침실,879
일반목욕탕,878
퇴비장,876
벽체,874
배수장,872
탁아소,871
창고및보일러실,867
ev기계실,865
제1종근린생활,865
98,865
재활용창고,864
대피시설,863
78,859
39,859
공항시설,858
마을공동구판장,856
판매장,855
직원식당,855
중앙감시실,854
클럽하우스,854
공용부분,853
발코니,853
99,852
94,852
82,851
oh,850
65,849
가스정압실,848
종각,847
피트연결통로,846
58,839
54,838
93,835
교수연구실,834
무도학원,833
조정실,833
옥외화장실,831
기계식,830
1층,829
농산물가공처리시설,828
부엌,826
대형점,826
층수제외,821
55,819
공동,818
한우사,815
유해공장,813
관람석,812
이발소,810
철도시설,807
폐수처리시설,806
송풍실,806
린넨실,800
4층1가구,799
버섯,798
팬룸,795
49,794
41,794
3가구용,791
소독실,791
74,790
면사무소,789
여,788
62,787
근생시설,784
2종근린생활,781
관람집회시설,780
13세대,779
농기계,776
59,776
통신시설,775
9가구,774
대피소및,774
농산물가공시설,772
70,770
소형주택,770
부속사무실,770
신청,770
학교교사,768
생활형숙박시설,766
공공용시설,765
원룸형4세대,764
상층,764
1종근생,764
1가구용,760
협동주택,760
t,757
조리실,757
농산물저온창고,756
85,754
공공시설,754
예배당,753
기념관,752
37,751
헬스클럽,750
83,749
잡화점,749
53,742
오피스텔용,741
51,737
청소년문화의집,736
백화점,734
d,734
건가실,734
지하층,733
91,732
복층형,730
47,730
체험장,729
실내골프연습장,729
5층,728
89,725
02,725
연쇄점,724
점,724
에어로빅장,724
안마원,722
8실,721
86,721
기타판매시설,718
63,717
43,716
화장실및창고,713
가동,712
운전학원,711
운동장,710
단지형다세대2세대,708
축사및창고,708
71,703
기타공용,702
포함,701
57,699
방송국,697
헬스장,694
원룸,694
수도원,692
일반주택,690
변,689
부속주차장,686
운전보안시설,685
매표소,685
11호,684
테니스장,683
파고라,682
외국어학원,681
공동작업장,680
육계사,679
73,678
14세대,677
운전실,673
휘트니스,673
77,672
79,669
다가구단독주택,667
휴계실,667
전문대학,666
동물미용실,665
축양장,665
남,664
나동,663
시청각실,663
마을공동창고,662
카센타,660
하층,656
가스저장고,655
출판사,655
청소년수련관,654
다과점,653
67,653
청사,651
대피실및,648
계분발효장,648
납골당,647
공관,647
문서고,647
커피숍,646
퇴비저장실,646
치과병원,645
주민카페,644
리프트,643
69,643
청소년게임제공업의시설,642
원룸형도시형생활주택,642
행정실,641
06,639
81,638
복합유통게임제공업소,637
생활,635
통신기계실,635
인쇄소,634
1종근린생활,633
용역원실,632
병실,631
05,631
주민공동이용시설,630
피,630
펌프,628
복도계단,628
원두막,627
방송실,624
위험물저장창고,623
주유대,622
1실,622
노인복지주택,621
훈련시설,621
양계,620
마사,619
사장실,618
농업인창고,614
목공소,613
주차,612
장애인복지시설,612
작전,611
기타교정및군사시설,610
101호,610
관,609
87,609
주기장,608
12호,608
농산물판매장,607
식품제조업소,607
재배사,607
산정,605
강습소,605
원룸형아파트,604
농산물저장창고,602
휴게시설,600
옥상,598
주택2세대,598
싸이로,597
방가로,597
포장실,597
매장,596
촬영소,595
영업장,595
램프,592
방갈로,592
펜션,592
03,591
세대창고,590
기타공연장,590
젖소,588
근린생활시설및,587
폐기물감량화시설,586
기타시설,585
소방펌프실,583
자료실,583
경비동,583
보일러실및창고,582
기타발전시설,582
철도역사,581
체육시설,581
차양,580
교수실,579
부품창고,578
피트니스,577
전문음식점,577
제어실,577
교,576
소방파출소,573
축분처리장,572
01,572
승마장,569
극장,565
일용품,564
학교시설,564
다락층,563
경비실1,563
건강원,563
육묘장,562
탄약고,562
재가노인복지시설,562
가스저장실,562
연면적미포함,561
양곡창고,561
농가부속사,560
구령대,559
봉안당,559
피아노학원,557
원룸형다세대주택,556
대회의실,556
청소년전자유기장,556
감귤창고,556
eps,555
야적장,551
학생회관,551
정비실,548
공장시설,548
다세대2,546
유기장,546
기타노유자시설,545
조산소,545
열람실,545
연회장,544
대,544
임대,543
다목적체육관,542
공용부,541
07,541
부화장,539
농사용,536
종탑,536
농산물가공공장,534
식품제조업,534
농업생산,534
영육아보육시설,534
1동,534
폐기물보관소,531
펌프장,531
곤충사육장,530
염소사,530
기타문화및집회시설,529
주민자치센터,528
입원실,527
약품창고,526
계단실및화장실,525
09,523
간부숙소,523
곤충사육시설,522
열교환기실,521
전화국,521
퇴비,520
집회소,519
양봉,518
주택3가구,517
무기고,516
설비시설,516
소예배실,514
부속차고,514
기타위험물저장처리시설,512
수퍼마켓,512
장옥,512
휴게공간,512
c동,511
공용시설,510
근로복지시설,510
간이주점,509
당,509
9실,509
마을정자,509
회의장,508
복지관,508
탈수기실,507
w,507
1970,505
차,503
전망대,502
곤충사육,501
경비실2,501
외,500
m,499
농업용시설,498
분리수거장,497
비,497
냉장실,497
건가시설,495
농산물저온저장고,494
1960,494
저장시설,493
물품보관창고,493
하수처리시설,493
단지형다세대주택2세대,492
상담실,491
대예배실,491
카페,490
피아노교습소,489
지층,489
피트니스센터,489
생활편의시설,488
기타관광휴게시설,486
주택부속창고,485
제2근린생활시설,485
북카페,485
다가구주택4가구,483
산막,481
공중목욕탕,481
휴양펜션,480
준비실,480
비상발전기실,479
속셈학원,478
창고및축사,478
102호,476
주민편의시설,476
쓰레기처리장,475
대합실,475
주택및소매점,475
ele,474
착유장,473
전시관,473
건축면적,473
201호,472
위험물저장처리시설,472
도축장,471
16호,468
퇴비저장고,467
전산실,467
다가구주택3가구,465
라운지,465
부수되는,465
노인의료복지시설,464
gx룸,463
액화석유가스판매소,463
계,462
기타자동차관련시설,461
13호,461
차고지,461
자전거보관소,459
농산물보관,458
건초창고,458
저탄장,456
주민복지관,455
수산물가공공장,455
3층1가구,454
가옥,453
병영생활관,453
게단실,452
접견실,451
마을모정,451
어업용창고,450
주차리프트,450
식,450
예능계,449
102동,448
멀티프로그램실,448
오락실,446
소방차고,446
자동차정비공장,445
계단실및,445
제2종근생활시설,442
염소,442
가스실,442
원룸형3세대,441
테라스,441
서재,440
거실,439
가압장,438
건조기,437
정신병원,437
현장사무실,437
대중목욕탕,437
공장및창고,436
4가구용,435
부속주택,435
위험물판매취급소,435
공용창고,434
식물재배사,434
저장창고,434
교육연구및,434
기타아동관련시설,432
하수처리장,432
양돈,432
101동,432
행정시설,431
공용화장실,429
지하대피실,429
사우나,429
출하장,428
진료실,428
부,427
주거용오피스텔,427
교리실,425
식품가공공장,424
제재소,423
황토방,423
제조,421
사료보관창고,421
퇴비저장조,420
저온,420
16세대,420
교사실,418
계단실및기계실,417
업무,417
자동차,416
택배보관실,416
변소및,416
출입구,415
1978,415
편의시설,415
정각,413
대강당,412
위험물옥내저장소,412
농기계공동보관창고,411
기타분뇨쓰레기처리시설,410
검사실,410
개수대,410
컴퓨터실,410
pc방,410
물놀이형시설,409
검차장,408
소각장,408
컴퓨터학원,408
아파트4세대,407
도시형다세대주택,404
인쇄공장,402
일반,401
조산원,401
방제실,400
놀이방,400
노래연습실,399
목재건구제조업,398
기,398
기타야영장시설,396
양생실,396
4호실,395
세대,395
원룸형2세대,395
수산물보관창고,395
엘레베이터,395
숙박,395
산업시설,394
데크,392
청소년수련시설,392
차량용승강기,391
기타학교,391
계단실및elev,390
정육점,390
기타종교시설,390
건축,390
경사로,389
송풍기실,388
가구,388
급식시설,388
무도장,387
공동창고,386
이용소,386
노인요양원,382
위험물저장시설,382
궁도장,382
농산물가공,382
l,382
20세대,381
근린생할시설,380
사무실및,380
7객실,380
입주자집회소,379
부대복리시설,379
정비소,379
지상주차장,379
장애인화장실,379
미포함,378
주택4가구,378
방재센타,378
농수산물가공처리시설,378
20호,377
공장및사무실,377
주민센터,376
301호,376
원룸형6세대,375
계단및화장실,374
공공청사,373
통제실,373
14호,372
과학관,372
업무시설용,372
보육원,371
15세대,371
고압가스충전소,371
서원,371
구내통신실,368
도시형주택,368
충전소,368
계분장,368
농업창고,368
1976,367
아파트용,367
유선각,367
비가림,366
배수펌프장,366
제조실,366
물품창고,365
10실,365
벽체공용,365
통신용,363
포,362
에스컬레이터,362
건강관리실,362
본관동,361
공작실,361
사무실및창고,361
도시형생활주택단지형다세대주택,360
evel,360
경,359
15호,359
여객자동차터미널,359
민원실,359
후생복지시설,358
농업용저온저장고,356
진료소,356
2동,356
장독대,356
체육장,354
지하주출입구연결통로,354
물리치료실,354
삼문,354
농산물건조장,353
지하주차장1,353
선과장,353
계단및물탱크실,352
취사시설,352
음악실,352
출하실,352
냉동,351
짚창고,351
창고및주택,351
축사및,351
미등기,351
잎담배공동건조장,351
소매점및주택,351
노인당,349
화,349
보관소,348
전기자동차충전소,348
아파트2세대,348
자원순환시설,348
제2종근린생할시설,347
전기기계실,347
유아실,346
야영장,346
고압가스판매소,345
단독주택3가구,345
영업시설,345
일반게임제공업,344
숙사,343
교무실,343
압축기실,342
화장실등,342
쓰레기집하장,341
기타가축시설,341
외부계단실,340
단지형다세대3세대,340
수전실,340
실습장,340
원룸형5세대,340
숲속의집,339
스크린골프연습장,339
화실,339
위험물저장및,338
소개업소,338
1977,337
양로원,337
배드민턴장,337
하수종말처리장,337
종업원숙소,337
식품위생시설,336
농기계보관,336
eve실,335
임대아파트,335
정화조관리층,334
단독주택2가구,334
소형호텔,334
지하주차장2,334
주유소사무실,334
미술학원,333
core,332
유희실,332
복도등,331
세척실,331
폐기물처리장,330
슈퍼,330
마을경로당,330
가축사육시설,329
가스배관시설,329
예체능계학원,328
카센터,328
공유면적,327
제연실,327
체능계강습소,326
망루,326
분석실,325
수장고,325
교회사택,325
재활용품보관창고,325
다세대주택3세대,325
염소사육장,325
돈분건조장,325
농수산물,325
지하창고,324
연초건조실,324
도매시장,324
제2종근생시설,323
다가주주택,323
배양장,323
공용공간,323
감귤저장,323
바베큐장,322
레스토랑,322
사육장,321
shelter,321
pit층,321
사설학원,320
마을공동작업장,320
고압가스저장소,320
1901년,317
주택및부속사,317
근생용,316
야외화장실,316
공구실,316
목사관,315
액화가스취급소,315
기계실등,315
주택및축사,315
소화펌프실,315
1975,314
el,314
소회의실,313
분만사,313
쇼핑센터,313
다구구주택,312
피트,312
비상계단,311
202호,311
일반게임제공업소,311
농업인,311
중,311
삼성각,310
1가구주택,310
단독주택1가구,310
냉동실,310
동물및,310
약품투입실,310
착유사,309
농,309
1978년,309
관리노인정,308
2개소,307
농어가창고,307
편의점,307
방아간,307
경로회관,307
쉼터,307
다목적홀,306
잿간,306
1960년,305
맘스스테이션,304
부속계단실,304
마을창고,304
국민주택,303
요양소,303
양조장,302
욕탕,302
부속건축물,302
매,302
공조기실,301
공동주방,301
원료창고,300
기타관광숙박시설,300
6객실,300
관망탑,300
주택부,299
옥외승강기,299
도시형원룸,298
공동시설,298
물품가공공장,298
상온창고,298
식물원,297
공동변소,297
18호,297
가스충전소,296
가구제조업,296
간이집하장,296
문화시설,295
포치,294
1972,294
제조소,294
양잠,293
입주자회의소,293
지구대,293
교육및연구시설,293
2층1가구,293
다가가주택,293
그늘집,293
저장실,292
냉장,292
중대본부,292
단,292
1979,291
1970년,291
2가구주택,290
면회실,289
자돈사,289
다동,288
양수실,288
다,287
계단실및주차장,287
ㅡ,287
전용,287
티하우스,287
사슴사육장,286
무인택배실,286
과학실,286
관람장,286
1973,286
외삼문,286
외부통로,286
해태건조장,285
비각,284
17호,284
용역원휴게실,282
안내소,282
관리시설,282
본관교사,281
보관실,281
도자기공장,281
차양대,281
불당,280
1965,280
장애인승강기,280
산부인과병원,280
주택및사무실,279
제연팬룸,279
단층주택,279
사랑채,278
휴계음식점,278
아파트3세대,278
흡연실,277
후생복리시설,277
농기구수리점,277
키즈카페,275
체육창고,275
제1종근생활시설,275
노인복지회관,275
곡물건조장,275
스크린골프장,275
사무실및점포,273
샤워,273
프로그램실,273
본부석,273
기술계강습소,272
농가시설,272
동아리실,271
소화가스실,271
옥내저장소,271
목욕실,271
기타병원,271
옥외계단실,270
취급소,270
요사,270
본당,269
연면적산정시제외,269
대형판매점,269
주택부속건물,269
다세대주택1세대,269
내,269
실내체육관,269
하,268
창고및사무실,268
외부승강기,268
원장실,268
연면적에,267
강의동,267
연립사택,266
판매소,266
숙,266
주간보호센터,266
가구전시장,266
목재건구제조장,265
택배보관소,265
정압실,265
주차장및계단실,265
401호,264
유류창고,264
물류터미널,264
커뮤니티,264
상,263
폐기물,263
1950년,263
계단실및물탱크,263
보일러실및,263
복층상층,263
주간보호시설,262
향교,262
영사실,262
4층포함1가구,261
곡물제분업,260
높이,260
비료창고,260
주민휴게시설,260
스라브,259
분뇨쓰레기처리시설,259
농기구창고,259
house,258
청소년게임제공업,258
내삼문,257
1980,257
카페테리아,256
다세대2세대,255
주점,255
건조창고,255
통합경비실,254
친환경퇴비사,254
농사,254
계절창고,254
tower,253
기타판매및영업시설,253
의,253
민박,253
게스트룸,253
공부방,253
폐기물보관장,253
공유,252
위생,252
오수처리시설,252
동회관,251
1992,251
r,251
계단실1,251
주계단,251
재활용보관소,251
조례대,251
수처리실,251
영,250
1940년,250
정화조관리실,250
21호,249
농수산물창고,249
농산물직판장,249
통신,249
위험물처리시설,249
수도장,249
공원에,248
창고1,248
현재,248
기타소매시장,248
배수지,247
11실,246
비육사,246
대문채,246
출하대,246
변압기실,246
떡방앗간,245
근로자휴게실,245
d동,245
3동,244
주차장램프,244
복층하층,244
101,244
1955,244
5객실,244
보관,244
지붕,244
외양간,243
1993,243
1종근,242
사회적기업,242
의료,242
사무실및주택,242
이용실,242
엘레베이터실,241
주출입구,241
저압수전실,241
농기계수리센타,241
공동화장실,241
방재시설,241
임원실,241
2종근,240
교회당,240
f실,240
3호실,240
화물용승강기,239
1945년,239
기타자원순환관련시설,238
체육실,238
생시설,238
1991,238
배양실,237
tps,237
별장,237
78년,236
운영실,236
관리사및창고,236
새마을금고,236
외부화장실,235
석유판매취급소,235
선방,235
g,235
공회당,235
노인시설,235
교사1호동,235
커뮤니티시설,235
건축자재소매점,235
전체공용,235
학생식당,234
제사,234
보일러실및대피소,234
사회복지관,234
자재보관창고,234
문화집회시설,234
103호,233
시험소,233
위험물저장고,232
기타목재가구제조업,232
지하차고,232
계단실및복도,232
자연권수련시설,232
교육연구시설및복지시설,231
창고2,231
갱의실,231
오양,231
스레트,230
4층과,230
18세대,230
가공실,230
