주_용도_코드,주_용도_코드_명,Total Count
05203,공회당,140
07210,복합유통게임제공업의시설,139
04033,소개업소,138
08006,종합여객시설,136
06109,납골당(제2종근생 제외),136
04027,복합유통게임제공업소,135
04302,음악당,135
26005,화장시설,134
16011,무도학원,133
33999,"기타국방,군사시설",132
20000,자동차관련시설,128
05204,마권장외발매소,123
13007,에어로빅장,123
08002,화물터미널,122
17307,물품 건조공장,119
04206,수녀원,119
16010,무도장,115
b0001,,115
04301,극장(영화관),112
21206,동물검역소,112
17303,물품 염색공장,110
Z3011,대피소,110
07399,기타도매시장,109
15203,한국전통호텔,109
14103,외국공관,108
05200,집회장,105
04047,기타게임시설,104
07205,인터넷컴퓨터게임시설제공업소,103
15200,관광숙박시설,102
26001,화장장,102
14100,공공업무시설,98
19000,위험물저장및처리시설,97
19021,화약류저장소,97
Z3005,의원,97
Z3210,학원,96
19015,유독물판매시설,95
03017,접골원,94
09000,의료시설,93
05503,수족관,92
26101,동물화장시설,90
04011,장의사,89
05406,박람회장,87
Z5000,문화및집회시설,87
04205,수도원,84
12301,관리동,84
03201,금융업소,82
05107,극장,79
04108,물놀이형시설,78
Z7002,가축시설,73
04307,영화관,73
31004,대피소,70
27001,야외음악당,70
16003,특수목욕장,70
12104,청소년특화시설,69
Z3019,탁구장,68
Z3002,휴게음식점,66
Z3004,일반목욕장,65
04048,가상현실체험제공업소,60
23101,구치소,60
22000,분뇨.쓰레기처리시설,59
Z6000,판매및영업시설,59
07209,청소년게임제공업의시설,59
04015,총포판매소,56
13106,롤러스케이트장,56
04023,복합유통.제공업소,55
03038,동물위탁시설,54
Z3300,운동시설,53
13010,실내낚시터,52
05100,공연장,52
04303,연예장,52
13108,사격장,51
26006,자연장지에 부수되는 건축물,51
03033,가스배관시설,49
04306,극장,49
03037,동물미용실,49
04049,동물위탁시설,49
20011,전기자동차충전소,48
05103,연예장,46
Z3020,체육도장,46
13101,육상장,46
Z3003,이(미)용원,45
06110,봉안당,45
Z3305,당구장,44
Z3206,수리점,43
21202,인공수정센터,41
03110,지역의료보험조합,39
03036,동물병원,39
Z3202,휴게음식점,39
04300,공연장,38
13105,스케이트장,37
Z3101,동사무소,37
26103,동물전용의납골시설,36
03115,건강보험공단사무소,36
11000,노유자시설,36
04305,비디오물소극장,34
24102,방송프로그램제작시설,33
03114,지역건강보험조합,33
06000,종교시설,32
32102,구치소,32
10402,교습소,32
15208,의료관광호텔,31
Z3603,부동산중개업소,30
05300,관람장,30
04034,안마원,30
27002,야외극장,29
Z3499,기타종교집회장,28
12200,자연권수련시설,28
27003,어린이회관,26
Z3601,금융업소,25
k3099,,25
27000,관광휴게시설,24
Z3214,독서실,24
Z3221,세탁소,24
05000,문화및집회시설,23
16012,카지노영업소,23
29002,동물전용의장례식장,22
28999,기타가설건축물,21
09106,격리병원,21
17305,물품 표백공장,21
12305,취사시설,21
Z3007,마을공동시설,20
13000,운동시설,20
Z3107,방송국,19
Z3015,한의원,19
04032,총포판매사,18
04050,주문배송시설,18
Z3401,교회,18
12303,샤워실,18
Z3220,노래연습장,18
13103,볼링장,17
16005,투전기업소,16
Z3302,체력단련장,16
Z3103,파출소,16
04042,총포판매소,16
Z3010,정수장,16
23006,소년원,15
28007,경비용가설건축물,15
05105,비디오물감상실,15
Z3105,우체국,15
07000,판매시설,14
07206,청소년게임제공업소,14
07207,복합유통게임제공업소,13
10303,계측계량소,13
03205,출판사,13
Z3399,기타운동시설,12
Z3021,마을공회당,12
Z3217,의약품도매점,12
07204,복합유통.제공업소,12
Z3402,성당,11
16008,카지노업소,11
07208,일반게임제공의시설,11
05306,경정장,11
32103,교도소,11
24105,중계시설,11
28010,임시창고,10
Z3108,보건소,10
23005,갱생보호소,10
Z3014,치과의원,10
09299,기타격리병원,10
24103,송신시설,10
14206,출판사,10
Z3022,마을공동작업소,9
Z3216,단란주점,9
28009,임시사무실,9
n1300,,8
32003,갱생보호소,8
Z3203,기원,8
Z3104,소방서,8
n1001,,7
a5017,,6
05305,경륜장,6
Z3501,극장(영화관),6
28006,가설점포,6
Z3208,사진관,6
26000,묘지관련시설,6
Z3023,마을공동구판장,6
23100,교도소,6
Z3207,게임제공업소,6
Z3209,표구점,5
12304,대피소,5
24000,방송통신시설,5
12100,생활권수련시설,5
Z3008,변전소,5
창,,5
23102,소년원,5
13100,운동장,5
Z3307,골프연습장,5
28004,공사용가설건축물,4
Z3009,양수장,4
09200,격리병원,4
05104,서커스장,4
03204,결혼상담소,4
05500,"동,식물원",4
Z3403,사찰,4
28014,"농,어업용고정식온실",4
19022,도시가스제조시설,4
32101,보호감호소,4
23001,감화원,4
Z3500,공연장,3
Z3017,접골원,3
28011,임시숙소,3
28005,견본주택,3
23202,구치소,3
26102,동물건조장시설,3
Z3219,안마시술소,3
32999,기타교정시설,2
홀,,2
05205,마권전화투표소,2
09201,전염병원,2
Z3304,볼링장,2
Z3106,전신전화국,2
28012,"농,어업용비닐하우스",2
14001,,2
점,,2
Z9001,교도소,2
76.38,,2
32004,소년원,2
b7010,,2
28013,가축용가설건축물,2
01101,,2
12000,수련시설,2
23201,보호감호소,1
03301,,1
23000,교정및군사시설,1
Z3018,조산소,1
04308,서커스장,1
Z3212,동물병원,1
23004,보호관찰소,1
a1999,,1
3999,,1
0399,,1
Z3604,결혼상담소,1
05106,비디오물소극장,1
층,,1
98318,,1
14999,,1
24104,수신시설,1
Z3006,체육장,1
23007,소년분류심사원,1
10204,,1
